[2026-04-23T18:56:08.900Z] GET http://localhost:3000/auth/login → 200 (223ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/src_app_auth_login_page_tsx_090xhm~._.js → pending (?ms, ?B)
[2026-04-23T18:56:09.162Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_090xhm~.js → pending (?ms, ?B)
[2026-04-23T18:56:09.207Z] GET http://localhost:3000/_next/image?url=%2Flogo-mf.png&w=256&q=75 → 200 (28ms, 6692B)
[2026-04-23T18:56:09.419Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 200 (90ms, 15615B)
[2026-04-23T18:56:09.419Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js → 200 (89ms, 289B)
[2026-04-23T18:56:09.758Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (23ms, 28356B)
[2026-04-23T18:56:09.760Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (36ms, 17742B)
[2026-04-23T18:56:18.724Z] GET http://localhost:3000/auth/login?_rsc=61gpq → 200 (310ms, 9317B)
[2026-04-23T18:56:24.646Z] POST http://localhost:3000/api/auth/magic → 200 (247ms, 232B)
[2026-04-23T18:56:34.535Z] GET http://localhost:3000/api/auth/verify?token=eyJhbGciOiJIUzI1NiJ9.eyJlbWFpbCI6Im5ldW1hbmdAZ21haWwuY29tIiwiZXhwIjoxNzc2OTcxNDg0LCJpYXQiOjE3NzY5NzA1ODR9.h65iZ2Rlcy1zem4VAG8hRaufplhDG_OYNQOJ_l8ZV3I&role=admin → 307 (335ms, ?B)
[2026-04-23T18:56:34.870Z] GET http://localhost:3000/admin/dashboard → pending (?ms, ?B)
[2026-04-23T18:56:36.602Z] GET http://localhost:3000/_next/static/media/e8f2fbee2754df70-s.p.0fzkl03jw-sdz.woff2 → 200 (4ms, ?B)
[2026-04-23T18:56:36.606Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → 304 (8ms, ?B)
[2026-04-23T18:56:36.606Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → 304 (8ms, ?B)
[2026-04-23T18:56:36.606Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → 304 (35ms, ?B)
[2026-04-23T18:56:36.607Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → 304 (37ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → 304 (39ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → 304 (39ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → 304 (40ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js → 304 (41ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → 304 (41ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/_0rqeker._.js → 304 (41ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js → 304 (44ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_0m7pi5w._.js → 304 (44ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/src_components_ui_sonner_tsx_0xbt7ar._.js → 304 (45ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js → 304 (45ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_090xhm~.js → 304 (45ms, ?B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/node_modules_0u-g930._.js → 200 (55ms, 192830B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/src_0ktpwnt._.js → 200 (47ms, 16218B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/src_app_admin_layout_tsx_090xhm~._.js → 200 (47ms, 286B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/src_components_admin_10y2wpa._.js → 200 (48ms, 32518B)
[2026-04-23T18:56:36.608Z] GET http://localhost:3000/_next/static/chunks/src_app_admin_dashboard_page_tsx_0cjl1om._.js → 200 (47ms, 261B)
[2026-04-23T18:56:36.693Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 304 (12ms, ?B)
[2026-04-23T18:56:36.693Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js → 304 (13ms, ?B)
[2026-04-23T18:56:36.712Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-23T19:00:30.590Z] GET http://localhost:3000/admin/dashboard?_rsc=v5brk → 200 (296ms, ?B)
[2026-04-23T19:00:37.628Z] GET http://localhost:3000/admin/dashboard?_rsc=v5brk → 200 (257ms, ?B)
[2026-04-23T19:02:09.365Z] GET http://localhost:3000/admin/revenue → 404 (70ms, 14625B)
[2026-04-23T19:02:09.445Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → 304 (12ms, ?B)
[2026-04-23T19:02:09.445Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → 200 (30ms, 675B)
[2026-04-23T19:02:09.445Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → 200 (64ms, 746646B)
[2026-04-23T19:02:09.445Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → 200 (62ms, 1057980B)
[2026-04-23T19:02:09.448Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → 200 (32ms, 174634B)
[2026-04-23T19:02:09.448Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → 200 (37ms, 144344B)
[2026-04-23T19:02:09.448Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → 200 (57ms, 742815B)
[2026-04-23T19:02:09.448Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js → 200 (52ms, 246103B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → 200 (39ms, 1984B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/_0rqeker._.js → 200 (42ms, 756B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js → 200 (50ms, 92351B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/node_modules_0m7pi5w._.js → 200 (54ms, 345089B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/src_components_ui_sonner_tsx_0xbt7ar._.js → 200 (41ms, 8498B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js → 200 (41ms, 363B)
[2026-04-23T19:02:09.450Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_090xhm~.js → 200 (39ms, 212B)
[2026-04-23T19:02:09.472Z] GET http://localhost:3000/_next/static/media/e8f2fbee2754df70-s.p.0fzkl03jw-sdz.woff2 → 200 (?ms, ?B)
[2026-04-23T19:02:09.525Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 200 (99ms, 15615B)
[2026-04-23T19:02:09.526Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js → 200 (98ms, 289B)
[2026-04-23T19:02:09.626Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-23T19:02:09.969Z] GET http://localhost:3000/admin/inscritos → 404 (59ms, 14627B)
[2026-04-23T19:02:10.038Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → 304 (5ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → 304 (9ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → 304 (9ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → 304 (22ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → 304 (24ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → 304 (25ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → 304 (25ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js → 304 (25ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → 304 (26ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/_0rqeker._.js → 304 (26ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js → 304 (38ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_0m7pi5w._.js → 304 (39ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/src_components_ui_sonner_tsx_0xbt7ar._.js → 304 (40ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js → 304 (40ms, ?B)
[2026-04-23T19:02:10.040Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_090xhm~.js → 304 (40ms, ?B)
[2026-04-23T19:02:10.047Z] GET http://localhost:3000/_next/static/media/e8f2fbee2754df70-s.p.0fzkl03jw-sdz.woff2 → 200 (1ms, ?B)
[2026-04-23T19:02:10.104Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 304 (8ms, ?B)
[2026-04-23T19:02:10.104Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js → 304 (9ms, ?B)
[2026-04-23T19:02:10.116Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-23T19:02:10.483Z] GET http://localhost:3000/admin/postulaciones → pending (?ms, ?B)
[2026-04-23T19:02:11.046Z] GET http://localhost:3000/_next/static/media/e8f2fbee2754df70-s.p.0fzkl03jw-sdz.woff2 → 200 (2ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → 304 (2ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → 304 (5ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → 304 (25ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → 304 (26ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → 304 (28ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → 304 (31ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → 304 (31ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js → 304 (32ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → 304 (46ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/_0rqeker._.js → 304 (32ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js → 304 (32ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_0m7pi5w._.js → 304 (33ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/src_components_ui_sonner_tsx_0xbt7ar._.js → 304 (51ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js → 304 (52ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_090xhm~.js → 304 (53ms, ?B)
[2026-04-23T19:02:11.049Z] GET http://localhost:3000/_next/static/chunks/node_modules_0u-g930._.js → 200 (63ms, 192830B)
[2026-04-23T19:02:11.050Z] GET http://localhost:3000/_next/static/chunks/src_0ktpwnt._.js → 200 (67ms, 16218B)
[2026-04-23T19:02:11.050Z] GET http://localhost:3000/_next/static/chunks/src_app_admin_layout_tsx_090xhm~._.js → 200 (66ms, 286B)
[2026-04-23T19:02:11.050Z] GET http://localhost:3000/_next/static/chunks/node_modules_02n2jsm._.js → 200 (68ms, 232070B)
[2026-04-23T19:02:11.051Z] GET http://localhost:3000/_next/static/chunks/src_components_0ftrh51._.js → 200 (67ms, 41511B)
[2026-04-23T19:02:11.051Z] GET http://localhost:3000/_next/static/chunks/src_app_admin_postulaciones_page_tsx_0cjl1om._.js → 200 (66ms, 297B)
[2026-04-23T19:02:11.112Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 304 (7ms, ?B)
[2026-04-23T19:02:11.112Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js → 304 (7ms, ?B)
[2026-04-23T19:02:11.125Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-04-23T19:03:31.873Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:31.878Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:31.881Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:31.974Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:32.060Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:32.151Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:32.232Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:03:58.855Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → 200 (9ms, 70512B)
[2026-04-23T19:04:16.448Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → 200 (8ms, 70625B)
[2026-04-23T19:04:16.477Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:16.561Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:16.641Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:16.735Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:16.836Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:16.928Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → 200 (431ms, 10788B)
[2026-04-23T19:04:17.014Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → 200 (234ms, 10788B)
[2026-04-23T19:04:17.315Z] GET http://localhost:3000/_next/static/chunks/node_modules_04lig1q._.js → pending (?ms, ?B)
[2026-04-23T19:04:17.315Z] GET http://localhost:3000/_next/static/chunks/src_07gu~8y._.js → pending (?ms, ?B)
[2026-04-23T19:04:17.955Z] GET http://localhost:3000/_next/static/chunks/node_modules_04lig1q._.js → 304 (43ms, ?B)
[2026-04-23T19:04:17.956Z] GET http://localhost:3000/_next/static/chunks/src_07gu~8y._.js → 304 (42ms, ?B)
[2026-04-23T19:04:17.997Z] GET http://localhost:3000/api/admin/applications → pending (?ms, ?B)
[2026-04-23T19:04:17.998Z] GET http://localhost:3000/api/admin/applications → pending (?ms, ?B)
[2026-04-23T19:04:18.900Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → 200 (649ms, 10788B)
[2026-04-23T19:04:19.228Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → 200 (210ms, 10788B)
[2026-04-23T19:04:39.507Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.621Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.746Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.749Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → pending (?ms, ?B)
[2026-04-23T19:04:39.758Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.761Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.764Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.767Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.771Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.774Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.777Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.780Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.785Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.785Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.789Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.792Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.794Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.796Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.799Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.802Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.808Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.811Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.812Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.815Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.818Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.820Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.823Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.825Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.827Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.830Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.833Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.837Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.840Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.842Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.845Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.848Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.852Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.855Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.858Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.859Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.861Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.864Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:04:39.866Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → 200 (122ms, ?B)
[2026-04-23T19:05:09.198Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.209Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0q_9jdy._.css → pending (?ms, ?B)
[2026-04-23T19:05:09.231Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.234Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.237Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.240Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.243Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.245Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.248Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.251Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
[2026-04-23T19:05:09.253Z] GET http://localhost:3000/admin/postulaciones?_rsc=1uvwy → pending (?ms, ?B)
